r,phi,phi',Phi,s
6.6,-2.30585,-0.494831,-0.349371,0
6.62,-2.31575,-0.49492,-0.349811,0
6.64,-2.32565,-0.495007,-0.350248,0
6.66,-2.33555,-0.495093,-0.350683,0
6.68,-2.34545,-0.495178,-0.351115,0
6.7,-2.35535,-0.495261,-0.351545,0
6.72,-2.36526,-0.495343,-0.351973,0
6.74,-2.37517,-0.495423,-0.352399,0
6.76,-2.38508,-0.495502,-0.352822,0
6.78,-2.39499,-0.49558,-0.353243,0
6.8,-2.4049,-0.495656,-0.353662,0
6.82,-2.41481,-0.495731,-0.354078,0
6.84,-2.42473,-0.495805,-0.354493,0
6.86,-2.43465,-0.495878,-0.354905,0
6.88,-2.44456,-0.495949,-0.355315,0
6.9,-2.45448,-0.496019,-0.355722,0
6.92,-2.46441,-0.496088,-0.356128,0
6.94,-2.47433,-0.496156,-0.356531,0
6.96,-2.48425,-0.496223,-0.356933,0
6.98,-2.49418,-0.496288,-0.357332,0
7,-2.5041,-0.496352,-0.357729,0
7.02,-2.51403,-0.496416,-0.358124,0
7.04,-2.52396,-0.496478,-0.358517,0
7.06,-2.53389,-0.496539,-0.358908,0
7.08,-2.54382,-0.496599,-0.359297,0
7.1,-2.55375,-0.496658,-0.359684,0
7.12,-2.56369,-0.496716,-0.360069,0
7.14,-2.57362,-0.496773,-0.360451,0
7.16,-2.58356,-0.49683,-0.360832,0
7.18,-2.5935,-0.496885,-0.361211,0
7.2,-2.60343,-0.496939,-0.361588,0
7.22,-2.61337,-0.496992,-0.361963,0
7.24,-2.62331,-0.497045,-0.362336,0
7.26,-2.63326,-0.497096,-0.362707,0
7.28,-2.6432,-0.497147,-0.363077,0
7.3,-2.65314,-0.497197,-0.363444,0
7.32,-2.66309,-0.497245,-0.36381,0
7.34,-2.67303,-0.497293,-0.364173,0
7.36,-2.68298,-0.497341,-0.364535,0
7.38,-2.69292,-0.497387,-0.364895,0
7.4,-2.70287,-0.497433,-0.365253,0
7.42,-2.71282,-0.497478,-0.365609,0
7.44,-2.72277,-0.497522,-0.365964,0
7.46,-2.73272,-0.497565,-0.366317,0
7.48,-2.74267,-0.497608,-0.366668,0
7.5,-2.75263,-0.497649,-0.367017,0
7.52,-2.76258,-0.497691,-0.367364,0
7.54,-2.77253,-0.497731,-0.36771,0
7.56,-2.78249,-0.497771,-0.368054,0
7.58,-2.79245,-0.49781,-0.368397,0
7.6,-2.8024,-0.497848,-0.368737,0
7.62,-2.81236,-0.497886,-0.369076,0
7.64,-2.82232,-0.497923,-0.369413,0
7.66,-2.83228,-0.497959,-0.369749,0
7.68,-2.84224,-0.497995,-0.370083,0
7.7,-2.8522,-0.49803,-0.370415,0
7.72,-2.86216,-0.498065,-0.370746,0
7.74,-2.87212,-0.498099,-0.371075,0
7.76,-2.88208,-0.498132,-0.371402,0
7.78,-2.89204,-0.498165,-0.371728,0
7.8,-2.90201,-0.498197,-0.372052,0
7.82,-2.91197,-0.498229,-0.372375,0
7.84,-2.92194,-0.49826,-0.372696,0
7.86,-2.9319,-0.498291,-0.373016,0
7.88,-2.94187,-0.498321,-0.373334,0
7.9,-2.95184,-0.49835,-0.37365,0
7.92,-2.9618,-0.498379,-0.373965,0
7.94,-2.97177,-0.498408,-0.374278,0
7.96,-2.98174,-0.498436,-0.37459,0
7.98,-2.99171,-0.498463,-0.374901,0
8,-3.00168,-0.49849,-0.37521,0
8.02,-3.01165,-0.498517,-0.375517,0
8.04,-3.02162,-0.498543,-0.375823,0
8.06,-3.03159,-0.498569,-0.376128,0
8.08,-3.04156,-0.498594,-0.376431,0
8.1,-3.05153,-0.498619,-0.376732,0
8.12,-3.06151,-0.498643,-0.377033,0
8.14,-3.07148,-0.498667,-0.377332,0
8.16,-3.08145,-0.498691,-0.377629,0
8.18,-3.09143,-0.498714,-0.377925,0
8.2,-3.1014,-0.498737,-0.37822,0
8.22,-3.11138,-0.498759,-0.378513,0
8.24,-3.12135,-0.498781,-0.378805,0
8.26,-3.13133,-0.498802,-0.379095,0
8.28,-3.1413,-0.498824,-0.379384,0
8.3,-3.15128,-0.498844,-0.379672,0
8.32,-3.16126,-0.498865,-0.379959,0
8.34,-3.17123,-0.498885,-0.380244,0
8.36,-3.18121,-0.498905,-0.380528,0
8.38,-3.19119,-0.498924,-0.38081,0
8.4,-3.20117,-0.498943,-0.381092,0
8.42,-3.21115,-0.498962,-0.381372,0
8.44,-3.22113,-0.49898,-0.38165,0
8.46,-3.23111,-0.498998,-0.381928,0
8.48,-3.24109,-0.499016,-0.382204,0
8.5,-3.25107,-0.499034,-0.382479,0
8.52,-3.26105,-0.499051,-0.382752,0
8.54,-3.27103,-0.499068,-0.383025,0
8.56,-3.28101,-0.499084,-0.383296,0
8.58,-3.29099,-0.4991,-0.383566,0
8.6,-3.30098,-0.499116,-0.383834,0
8.62,-3.31096,-0.499132,-0.384102,0
8.64,-3.32094,-0.499147,-0.384368,0
8.66,-3.33092,-0.499163,-0.384633,0
8.68,-3.34091,-0.499177,-0.384897,0
8.7,-3.35089,-0.499192,-0.38516,0
8.72,-3.36088,-0.499206,-0.385421,0
8.74,-3.37086,-0.499221,-0.385682,0
8.76,-3.38084,-0.499234,-0.385941,0
8.78,-3.39083,-0.499248,-0.386199,0
8.8,-3.40081,-0.499261,-0.386456,0
