r,phi,Phi,exact,Exact,s
5.96,0.989732,0.166062,0.989732,0.166062,0.5
5.98,0.98991,0.165537,0.98991,0.165537,0.5
6,0.990085,0.165014,0.990085,0.165014,0.5
6.02,0.990257,0.164495,0.990257,0.164495,0.5
6.04,0.990426,0.163978,0.990426,0.163978,0.5
6.06,0.990592,0.163464,0.990592,0.163464,0.5
6.08,0.990756,0.162953,0.990756,0.162953,0.5
6.1,0.990916,0.162445,0.990916,0.162445,0.5
6.12,0.991074,0.16194,0.991074,0.16194,0.5
6.14,0.991229,0.161438,0.991229,0.161438,0.5
6.16,0.991382,0.160939,0.991382,0.160939,0.5
6.18,0.991532,0.160442,0.991532,0.160442,0.5
6.2,0.991679,0.159948,0.991679,0.159948,0.5
6.22,0.991824,0.159457,0.991824,0.159457,0.5
6.24,0.991967,0.158969,0.991967,0.158969,0.5
6.26,0.992107,0.158483,0.992107,0.158483,0.5
6.28,0.992244,0.158001,0.992244,0.158001,0.5
6.3,0.992379,0.157521,0.992379,0.157521,0.5
6.32,0.992512,0.157043,0.992512,0.157043,0.5
6.34,0.992643,0.156568,0.992643,0.156568,0.5
6.36,0.992771,0.156096,0.992771,0.156096,0.5
6.38,0.992897,0.155627,0.992897,0.155627,0.5
6.4,0.993021,0.15516,0.993021,0.15516,0.5
6.42,0.993143,0.154695,0.993143,0.154695,0.5
6.44,0.993263,0.154233,0.993263,0.154233,0.5
6.46,0.993381,0.153774,0.993381,0.153774,0.5
6.48,0.993497,0.153317,0.993497,0.153317,0.5
6.5,0.99361,0.152863,0.99361,0.152863,0.5
6.52,0.993722,0.152411,0.993722,0.152411,0.5
6.54,0.993832,0.151962,0.993832,0.151962,0.5
6.56,0.99394,0.151515,0.99394,0.151515,0.5
6.58,0.994046,0.151071,0.994046,0.151071,0.5
6.6,0.99415,0.150629,0.99415,0.150629,0.5
6.62,0.994253,0.150189,0.994253,0.150189,0.5
6.64,0.994354,0.149752,0.994354,0.149752,0.5
6.66,0.994453,0.149317,0.994453,0.149317,0.5
6.68,0.99455,0.148885,0.99455,0.148885,0.5
6.7,0.994646,0.148455,0.994646,0.148455,0.5
6.72,0.99474,0.148027,0.994739,0.148027,0.5
6.74,0.994832,0.147601,0.994832,0.147601,0.5
6.76,0.994923,0.147178,0.994923,0.147178,0.5
6.78,0.995012,0.146757,0.995012,0.146757,0.5
6.8,0.995099,0.146338,0.995099,0.146338,0.5
6.82,0.995186,0.145922,0.995186,0.145922,0.5
6.84,0.99527,0.145507,0.99527,0.145507,0.5
6.86,0.995353,0.145095,0.995353,0.145095,0.5
6.88,0.995435,0.144685,0.995435,0.144685,0.5
6.9,0.995515,0.144278,0.995515,0.144278,0.5
6.92,0.995594,0.143872,0.995594,0.143872,0.5
6.94,0.995672,0.143469,0.995672,0.143469,0.5
6.96,0.995748,0.143067,0.995748,0.143067,0.5
6.98,0.995823,0.142668,0.995823,0.142668,0.5
7,0.995897,0.142271,0.995897,0.142271,0.5
7.02,0.995969,0.141876,0.995969,0.141876,0.5
7.04,0.99604,0.141483,0.99604,0.141483,0.5
7.06,0.99611,0.141092,0.99611,0.141092,0.5
7.08,0.996178,0.140703,0.996178,0.140703,0.5
7.1,0.996246,0.140316,0.996246,0.140316,0.5
7.12,0.996312,0.139931,0.996312,0.139931,0.5
7.14,0.996377,0.139549,0.996377,0.139549,0.5
7.16,0.996441,0.139168,0.996441,0.139168,0.5
7.18,0.996504,0.138789,0.996504,0.138789,0.5
7.2,0.996566,0.138412,0.996566,0.138412,0.5
7.22,0.996626,0.138037,0.996626,0.138037,0.5
7.24,0.996686,0.137664,0.996686,0.137664,0.5
7.26,0.996745,0.137293,0.996745,0.137293,0.5
7.28,0.996802,0.136923,0.996802,0.136923,0.5
7.3,0.996859,0.136556,0.996859,0.136556,0.5
7.32,0.996914,0.13619,0.996914,0.13619,0.5
7.34,0.996969,0.135827,0.996969,0.135827,0.5
7.36,0.997023,0.135465,0.997023,0.135465,0.5
7.38,0.997075,0.135105,0.997075,0.135105,0.5
7.4,0.997127,0.134747,0.997127,0.134747,0.5
7.42,0.997178,0.134391,0.997178,0.134391,0.5
7.44,0.997228,0.134036,0.997228,0.134036,0.5
7.46,0.997277,0.133683,0.997277,0.133683,0.5
7.48,0.997325,0.133332,0.997325,0.133332,0.5
7.5,0.997373,0.132983,0.997373,0.132983,0.5
7.52,0.997419,0.132636,0.997419,0.132636,0.5
7.54,0.997465,0.13229,0.997465,0.13229,0.5
7.56,0.99751,0.131946,0.99751,0.131946,0.5
7.58,0.997554,0.131603,0.997554,0.131603,0.5
7.6,0.997598,0.131263,0.997598,0.131263,0.5
7.62,0.997641,0.130924,0.99764,0.130924,0.5
7.64,0.997682,0.130587,0.997682,0.130587,0.5
7.66,0.997724,0.130251,0.997724,0.130251,0.5
7.68,0.997764,0.129917,0.997764,0.129917,0.5
7.7,0.997804,0.129585,0.997804,0.129585,0.5
7.72,0.997843,0.129254,0.997843,0.129254,0.5
7.74,0.997881,0.128925,0.997881,0.128925,0.5
7.76,0.997919,0.128598,0.997919,0.128598,0.5
7.78,0.997956,0.128272,0.997956,0.128272,0.5
7.8,0.997992,0.127948,0.997992,0.127948,0.5
7.82,0.998028,0.127625,0.998028,0.127625,0.5
7.84,0.998063,0.127304,0.998063,0.127304,0.5
7.86,0.998098,0.126984,0.998098,0.126984,0.5
7.88,0.998132,0.126666,0.998132,0.126666,0.5
7.9,0.998165,0.12635,0.998165,0.12635,0.5
7.92,0.998198,0.126035,0.998198,0.126035,0.5
7.94,0.99823,0.125722,0.99823,0.125722,0.5
7.96,0.998261,0.12541,0.998261,0.12541,0.5
7.98,0.998292,0.125099,0.998292,0.125099,0.5
8,0.998323,0.12479,0.998323,0.12479,0.5
8.02,0.998353,0.124483,0.998353,0.124483,0.5
8.04,0.998382,0.124177,0.998382,0.124177,0.5
8.06,0.998411,0.123872,0.998411,0.123872,0.5
8.08,0.998439,0.123569,0.998439,0.123569,0.5
8.1,0.998467,0.123268,0.998467,0.123268,0.5
8.12,0.998495,0.122967,0.998495,0.122967,0.5
8.14,0.998521,0.122668,0.998521,0.122668,0.5
8.16,0.998548,0.122371,0.998548,0.122371,0.5
8.18,0.998574,0.122075,0.998574,0.122075,0.5
8.2,0.998599,0.12178,0.998599,0.12178,0.5
8.22,0.998624,0.121487,0.998624,0.121487,0.5
8.24,0.998649,0.121195,0.998649,0.121195,0.5
8.26,0.998673,0.120905,0.998673,0.120905,0.5
8.28,0.998697,0.120616,0.998697,0.120616,0.5
8.3,0.99872,0.120328,0.99872,0.120328,0.5
8.32,0.998743,0.120041,0.998743,0.120041,0.5
8.34,0.998766,0.119756,0.998766,0.119756,0.5
8.36,0.998788,0.119472,0.998788,0.119472,0.5
8.38,0.998809,0.11919,0.998809,0.11919,0.5
8.4,0.998831,0.118908,0.998831,0.118908,0.5
8.42,0.998852,0.118628,0.998852,0.118628,0.5
8.44,0.998872,0.11835,0.998872,0.11835,0.5
8.46,0.998892,0.118072,0.998892,0.118072,0.5
8.48,0.998912,0.117796,0.998912,0.117796,0.5
8.5,0.998932,0.117521,0.998932,0.117521,0.5
8.52,0.998951,0.117248,0.998951,0.117248,0.5
8.54,0.99897,0.116975,0.99897,0.116975,0.5
8.56,0.998988,0.116704,0.998988,0.116704,0.5
8.58,0.999006,0.116434,0.999006,0.116434,0.5
8.6,0.999024,0.116166,0.999024,0.116166,0.5
8.62,0.999042,0.115898,0.999042,0.115898,0.5
8.64,0.999059,0.115632,0.999059,0.115632,0.5
8.66,0.999076,0.115367,0.999076,0.115367,0.5
8.68,0.999092,0.115103,0.999092,0.115103,0.5
8.7,0.999109,0.11484,0.999109,0.11484,0.5
8.72,0.999125,0.114579,0.999125,0.114579,0.5
8.74,0.999141,0.114318,0.999141,0.114318,0.5
8.76,0.999156,0.114059,0.999156,0.114059,0.5
8.78,0.999171,0.113801,0.999171,0.113801,0.5
8.8,0.999186,0.113544,0.999186,0.113544,0.5
8.82,0.999201,0.113288,0.999201,0.113288,0.5
8.84,0.999215,0.113033,0.999215,0.113033,0.5
8.86,0.999229,0.11278,0.999229,0.11278,0.5
8.88,0.999243,0.112527,0.999243,0.112527,0.5
8.9,0.999257,0.112276,0.999257,0.112276,0.5
8.92,0.99927,0.112026,0.99927,0.112026,0.5
8.94,0.999283,0.111777,0.999283,0.111777,0.5
8.96,0.999296,0.111529,0.999296,0.111529,0.5
8.98,0.999309,0.111282,0.999309,0.111282,0.5
9,0.999321,0.111036,0.999321,0.111036,0.5
9.02,0.999334,0.110791,0.999333,0.110791,0.5
9.04,0.999346,0.110547,0.999345,0.110547,0.5
9.06,0.999357,0.110304,0.999357,0.110304,0.5
9.08,0.999369,0.110063,0.999369,0.110063,0.5
9.1,0.99938,0.109822,0.99938,0.109822,0.5
9.12,0.999391,0.109582,0.999391,0.109582,0.5
9.14,0.999402,0.109344,0.999402,0.109344,0.5
9.16,0.999413,0.109106,0.999413,0.109106,0.5
9.18,0.999424,0.10887,0.999424,0.10887,0.5
9.2,0.999434,0.108634,0.999434,0.108634,0.5
9.22,0.999444,0.1084,0.999444,0.1084,0.5
9.24,0.999454,0.108166,0.999454,0.108166,0.5
9.26,0.999464,0.107934,0.999464,0.107934,0.5
9.28,0.999474,0.107702,0.999474,0.107702,0.5
9.3,0.999483,0.107471,0.999483,0.107471,0.5
9.32,0.999493,0.107242,0.999493,0.107242,0.5
9.34,0.999502,0.107013,0.999502,0.107013,0.5
9.36,0.999511,0.106785,0.999511,0.106785,0.5
9.38,0.99952,0.106559,0.99952,0.106559,0.5
9.4,0.999529,0.106333,0.999528,0.106333,0.5
9.42,0.999537,0.106108,0.999537,0.106108,0.5
9.44,0.999545,0.105884,0.999545,0.105884,0.5
9.46,0.999554,0.105661,0.999554,0.105661,0.5
9.48,0.999562,0.105439,0.999562,0.105439,0.5
9.5,0.99957,0.105218,0.99957,0.105218,0.5
9.52,0.999577,0.104998,0.999577,0.104998,0.5
9.54,0.999585,0.104778,0.999585,0.104778,0.5
9.56,0.999593,0.10456,0.999593,0.10456,0.5
9.58,0.9996,0.104342,0.9996,0.104342,0.5
9.6,0.999607,0.104126,0.999607,0.104126,0.5
9.62,0.999614,0.10391,0.999614,0.10391,0.5
9.64,0.999621,0.103695,0.999621,0.103695,0.5
9.66,0.999628,0.103481,0.999628,0.103481,0.5
9.68,0.999635,0.103268,0.999635,0.103268,0.5
9.7,0.999642,0.103056,0.999641,0.103056,0.5
9.72,0.999648,0.102844,0.999648,0.102844,0.5
9.74,0.999654,0.102634,0.999654,0.102634,0.5
9.76,0.999661,0.102424,0.999661,0.102424,0.5
9.78,0.999667,0.102215,0.999667,0.102215,0.5
9.8,0.999673,0.102007,0.999673,0.102007,0.5
9.82,0.999679,0.1018,0.999679,0.1018,0.5
9.84,0.999685,0.101594,0.999685,0.101594,0.5
9.86,0.99969,0.101388,0.99969,0.101388,0.5
9.88,0.999696,0.101184,0.999696,0.101184,0.5
9.9,0.999701,0.10098,0.999701,0.10098,0.5
9.92,0.999707,0.100777,0.999707,0.100777,0.5
9.94,0.999712,0.100575,0.999712,0.100575,0.5
