t,y,abs_err,rel_err,h
0.953125,0.63827,0.00611844,0.00949495,0.015625
0.96875,0.628765,0.00617593,0.00972678,0.015625
0.984375,0.619247,0.00623117,0.00996224,0.015625
1,0.609723,0.00628413,0.0102014,0.015625
1.01562,0.600196,0.00633478,0.0104443,0.015625
1.03125,0.590671,0.0063831,0.010691,0.015625
1.04688,0.581154,0.00642906,0.0109415,0.015625
1.0625,0.571647,0.00647265,0.011196,0.015625
1.07812,0.562157,0.00651383,0.0114545,0.015625
1.09375,0.552687,0.0065526,0.011717,0.015625
1.10938,0.543242,0.00658894,0.0119836,0.015625
1.125,0.533825,0.00662282,0.0122543,0.015625
1.14062,0.524442,0.00665424,0.0125293,0.015625
1.15625,0.515095,0.00668318,0.0128085,0.015625
1.17188,0.505789,0.00670964,0.013092,0.015625
1.1875,0.496528,0.00673361,0.0133799,0.015625
1.20312,0.487315,0.00675507,0.0136723,0.015625
1.21875,0.478154,0.00677403,0.0139692,0.015625
1.23438,0.469048,0.00679049,0.0142706,0.015625
1.25,0.460002,0.00680444,0.0145766,0.015625
1.26562,0.451017,0.00681588,0.0148873,0.015625
1.28125,0.442098,0.00682483,0.0152027,0.015625
1.29688,0.433248,0.00683128,0.0155228,0.015625
1.3125,0.424469,0.00683524,0.0158479,0.015625
1.32812,0.415764,0.00683673,0.0161778,0.015625
1.34375,0.407136,0.00683575,0.0165126,0.015625
1.35938,0.398588,0.00683233,0.0168525,0.015625
1.375,0.390121,0.00682647,0.0171974,0.015625
1.39062,0.38174,0.00681819,0.0175474,0.015625
1.40625,0.373445,0.00680752,0.0179026,0.015625
1.42188,0.36524,0.00679448,0.018263,0.015625
1.4375,0.357125,0.00677908,0.0186288,0.015625
1.45312,0.349104,0.00676137,0.0189998,0.015625
1.46875,0.341177,0.00674136,0.0193762,0.015625
1.48438,0.333348,0.00671908,0.0197581,0.015625
1.5,0.325616,0.00669457,0.0201455,0.015625
1.51562,0.317985,0.00666785,0.0205384,0.015625
1.53125,0.310454,0.00663897,0.020937,0.015625
1.54688,0.303026,0.00660797,0.0213412,0.015625
1.5625,0.295702,0.00657487,0.0217511,0.015625
1.57812,0.288483,0.00653972,0.0221668,0.015625
1.59375,0.281369,0.00650255,0.0225884,0.015625
1.60938,0.274363,0.00646343,0.0230158,0.015625
1.625,0.267463,0.00642238,0.0234491,0.015625
1.64062,0.260672,0.00637945,0.0238884,0.015625
1.65625,0.25399,0.00633469,0.0243338,0.015625
1.67188,0.247417,0.00628815,0.0247852,0.015625
1.6875,0.240954,0.00623987,0.0252428,0.015625
1.70312,0.234601,0.00618991,0.0257066,0.015625
1.71875,0.228358,0.00613832,0.0261767,0.015625
1.73438,0.222225,0.00608515,0.026653,0.015625
1.75,0.216203,0.00603045,0.0271357,0.015625
1.76562,0.210291,0.00597428,0.0276248,0.015625
1.78125,0.204489,0.0059167,0.0281204,0.015625
1.79688,0.198798,0.00585775,0.0286224,0.015625
1.8125,0.193217,0.00579749,0.029131,0.015625
1.82812,0.187745,0.00573598,0.0296463,0.015625
1.84375,0.182382,0.00567327,0.0301682,0.015625
1.85938,0.177128,0.00560943,0.0306968,0.015625
1.875,0.171982,0.00554451,0.0312321,0.015625
1.89062,0.166943,0.00547857,0.0317743,0.015625
1.90625,0.162011,0.00541166,0.0323233,0.015625
1.92188,0.157186,0.00534385,0.0328792,0.015625
1.9375,0.152466,0.00527518,0.0334421,0.015625
1.95312,0.14785,0.00520573,0.034012,0.015625
1.96875,0.143338,0.00513554,0.0345889,0.015625
1.98438,0.138929,0.00506467,0.0351729,0.015625
2,0.134621,0.00499318,0.0357641,0.015625
2.01562,0.130414,0.00492113,0.0363625,0.015625
2.03125,0.126307,0.00484857,0.0369681,0.015625
2.04688,0.122298,0.00477556,0.037581,0.015625
2.0625,0.118387,0.00470215,0.0382013,0.015625
2.07812,0.114572,0.00462841,0.0388289,0.015625
2.09375,0.110851,0.00455437,0.039464,0.015625
2.10938,0.107225,0.0044801,0.0401065,0.015625
2.125,0.103691,0.00440564,0.0407566,0.015625
2.14062,0.100248,0.00433106,0.0414142,0.015625
2.15625,0.0968949,0.00425639,0.0420795,0.015625
2.17188,0.0936304,0.0041817,0.0427524,0.015625
2.1875,0.090453,0.00410702,0.043433,0.015625
2.20312,0.0873613,0.00403241,0.0441213,0.015625
2.21875,0.084354,0.00395792,0.0448175,0.015625
2.23438,0.0814296,0.00388358,0.0455214,0.015625
2.25,0.0785868,0.00380944,0.0462333,0.015625
2.26562,0.075824,0.00373556,0.046953,0.015625
2.28125,0.0731398,0.00366196,0.0476807,0.015625
2.29688,0.0705327,0.00358869,0.0484164,0.015625
2.3125,0.0680014,0.0035158,0.0491602,0.015625
2.32812,0.0655443,0.00344331,0.049912,0.015625
2.34375,0.06316,0.00337127,0.050672,0.015625
2.35938,0.060847,0.00329972,0.0514401,0.015625
2.375,0.0586039,0.00322868,0.0522165,0.015625
2.39062,0.0564291,0.00315819,0.053001,0.015625
2.40625,0.0543213,0.00308829,0.0537939,0.015625
2.42188,0.0522789,0.003019,0.0545951,0.015625
2.4375,0.0503006,0.00295035,0.0554046,0.015625
2.45312,0.0483849,0.00288238,0.0562226,0.015625
2.46875,0.0465303,0.0028151,0.057049,0.015625
2.48438,0.0447354,0.00274855,0.0578838,0.015625
2.5,0.0429989,0.00268275,0.0587272,0.015625
2.51562,0.0413192,0.00261772,0.0595791,0.015625
2.53125,0.0396951,0.00255349,0.0604396,0.015625
2.54688,0.0381251,0.00249007,0.0613087,0.015625
2.5625,0.0366079,0.00242748,0.0621865,0.015625
2.57812,0.0351422,0.00236574,0.063073,0.015625
2.59375,0.0337265,0.00230486,0.0639682,0.015625
2.60938,0.0323597,0.00224487,0.0648721,0.015625
2.625,0.0310403,0.00218577,0.0657848,0.015625
2.64062,0.0297672,0.00212759,0.0667064,0.015625
2.65625,0.028539,0.00207032,0.0676368,0.015625
2.67188,0.0273545,0.00201398,0.0685761,0.015625
2.6875,0.0262125,0.00195858,0.0695244,0.015625
2.70312,0.0251118,0.00190412,0.0704815,0.015625
2.71875,0.0240512,0.00185062,0.0714477,0.015625
2.73438,0.0230295,0.00179808,0.0724229,0.015625
2.75,0.0220456,0.00174651,0.0734071,0.015625
2.76562,0.0210983,0.0016959,0.0744004,0.015625
2.78125,0.0201866,0.00164626,0.0754028,0.015625
2.79688,0.0193093,0.00159759,0.0764143,0.015625
2.8125,0.0184655,0.00154989,0.077435,0.015625
2.82812,0.017654,0.00150316,0.0784648,0.015625
2.84375,0.0168739,0.00145741,0.0795039,0.015625
2.85938,0.0161241,0.00141262,0.0805522,0.015625
2.875,0.0154037,0.0013688,0.0816097,0.015625
2.89062,0.0147118,0.00132594,0.0826766,0.015625
2.90625,0.0140473,0.00128404,0.0837528,0.015625
2.92188,0.0134094,0.00124309,0.0848383,0.015625
2.9375,0.0127972,0.00120309,0.0859331,0.015625
2.95312,0.0122098,0.00116403,0.0870374,0.015625
2.96875,0.0116464,0.00112589,0.088151,0.015625
2.98438,0.0111062,0.00108869,0.0892741,0.015625
3,0.0105883,0.0010524,0.0904066,0.015625
3.01562,0.010092,0.00101701,0.0915486,0.015625
0,1,0,0,0.0078125
0.0078125,1,0,0,0.0078125
0.015625,0.999939,3.0518e-05,3.0519e-05,0.0078125
0.0234375,0.999817,6.10352e-05,6.10426e-05,0.0078125
0.03125,0.999634,9.15495e-05,9.15746e-05,0.0078125
0.0390625,0.99939,0.000122059,0.000122119,0.0078125
0.046875,0.999085,0.000152562,0.000152679,0.0078125
0.0546875,0.998719,0.000183057,0.000183258,0.0078125
0.0625,0.998292,0.000213541,0.000213861,0.0078125
0.0703125,0.997805,0.000244014,0.000244491,0.0078125
0.078125,0.997257,0.000274472,0.000275151,0.0078125
0.0859375,0.996648,0.000304914,0.000305846,0.0078125
0.09375,0.995979,0.000335339,0.00033658,0.0078125
0.101562,0.995249,0.000365744,0.000367355,0.0078125
0.109375,0.99446,0.000396127,0.000398175,0.0078125
0.117188,0.99361,0.000426487,0.000429045,0.0078125
0.125,0.9927,0.000456821,0.000459969,0.0078125
0.132812,0.991731,0.000487128,0.000490949,0.0078125
0.140625,0.990702,0.000517406,0.000521989,0.0078125
0.148438,0.989613,0.000547652,0.000553094,0.0078125
0.15625,0.988466,0.000577865,0.000584267,0.0078125
0.164062,0.987259,0.000608043,0.000615511,0.0078125
0.171875,0.985994,0.000638184,0.000646831,0.0078125
0.179688,0.98467,0.000668286,0.00067823,0.0078125
0.1875,0.983287,0.000698347,0.000709712,0.0078125
0.195312,0.981847,0.000728364,0.000741281,0.0078125
0.203125,0.980349,0.000758337,0.00077294,0.0078125
0.210938,0.978793,0.000788262,0.000804693,0.0078125
0.21875,0.97718,0.000818138,0.000836543,0.0078125
0.226562,0.97551,0.000847963,0.000868496,0.0078125
0.234375,0.973784,0.000877734,0.000900553,0.0078125
0.242188,0.972,0.000907451,0.00093272,0.0078125
0.25,0.970161,0.000937109,0.000964999,0.0078125
0.257812,0.968267,0.000966708,0.000997395,0.0078125
0.265625,0.966316,0.000996245,0.00102991,0.0078125
0.273438,0.964311,0.00102572,0.00106255,0.0078125
0.28125,0.962251,0.00105513,0.00109532,0.0078125
0.289062,0.960137,0.00108446,0.00112822,0.0078125
0.296875,0.957968,0.00111373,0.00116125,0.0078125
0.304688,0.955747,0.00114293,0.00119442,0.0078125
0.3125,0.953472,0.00117205,0.00122774,0.0078125
0.320312,0.951144,0.00120109,0.0012612,0.0078125
0.328125,0.948764,0.00123006,0.00129481,0.0078125
0.335938,0.946331,0.00125894,0.00132857,0.0078125
0.34375,0.943848,0.00128774,0.00136249,0.0078125
0.351562,0.941313,0.00131646,0.00139658,0.0078125
0.359375,0.938728,0.00134508,0.00143083,0.0078125
0.367188,0.936092,0.00137361,0.00146524,0.0078125
0.375,0.933407,0.00140205,0.00149983,0.0078125
0.382812,0.930672,0.0014304,0.0015346,0.0078125
0.390625,0.927889,0.00145865,0.00156954,0.0078125
0.398438,0.925057,0.00148679,0.00160467,0.0078125
0.40625,0.922178,0.00151484,0.00163998,0.0078125
0.414062,0.919251,0.00154278,0.00167549,0.0078125
0.421875,0.916277,0.00157061,0.00171119,0.0078125
0.429688,0.913257,0.00159833,0.00174709,0.0078125
0.4375,0.910191,0.00162594,0.00178319,0.0078125
