t,x,y,method
+2.481858e+01,+1.097179e+00,-8.972149e-02,RK2
+2.513274e+01,+1.014848e+00,-4.299828e-01,RK2
+2.544690e+01,+8.296845e-01,-7.275880e-01,RK2
+2.576106e+01,+5.601627e-01,-9.523360e-01,RK2
+2.607522e+01,+2.333346e-01,-1.081320e+00,RK2
+2.638938e+01,-1.178869e-01,-1.101264e+00,RK2
+2.670354e+01,-4.580415e-01,-1.009883e+00,RK2
+2.701770e+01,-7.527023e-01,-8.161495e-01,RK2
+2.733186e+01,-9.719588e-01,-5.394057e-01,RK2
+2.764602e+01,-1.093454e+00,-2.074372e-01,RK2
+2.796017e+01,-1.104662e+00,+1.463180e-01,RK2
+2.827433e+01,-1.004182e+00,+4.861375e-01,RK2
+2.858849e+01,-8.019033e-01,+7.776207e-01,RK2
+2.890265e+01,-5.180342e-01,+9.911720e-01,RK2
+2.921681e+01,-1.810844e-01,+1.105005e+00,RK2
+2.953097e+01,+1.749993e-01,+1.107364e+00,RK2
+2.984513e+01,+5.142522e-01,+9.977406e-01,RK2
+3.015929e+01,+8.023243e-01,+7.869469e-01,RK2
+3.047345e+01,+1.009958e+00,+4.960550e-01,RK2
+3.078761e+01,+1.115959e+00,+1.542881e-01,RK2
+3.110177e+01,+1.109359e+00,-2.039145e-01,RK2
+3.141593e+01,+9.905531e-01,-5.423673e-01,RK2
+3.173009e+01,+7.712815e-01,-8.267940e-01,RK2
+3.204425e+01,+4.734753e-01,-1.028299e+00,RK2
+3.235840e+01,+1.270607e-01,-1.126301e+00,RK2
+3.267256e+01,-2.330473e-01,-1.110637e+00,RK2
+3.298672e+01,-5.704638e-01,-9.826156e-01,RK2
+3.330088e+01,-8.510104e-01,-7.549090e-01,RK2
+3.361504e+01,-1.046176e+00,-4.503029e-01,RK2
+3.392920e+01,-1.136016e+00,-9.941537e-02,RK2
+3.424336e+01,-1.111189e+00,+2.623807e-01,RK2
+3.455752e+01,-9.739243e-01,+5.985229e-01,RK2
+3.487168e+01,-7.378315e-01,+8.749543e-01,RK2
+3.518584e+01,-4.265460e-01,+1.063574e+00,RK2
+3.550000e+01,-7.136528e-02,+1.145092e+00,RK2
+3.581416e+01,+2.918976e-01,+1.111004e+00,RK2
+3.612832e+01,+6.265252e-01,+9.644756e-01,RK2
+3.644247e+01,+8.986064e-01,+7.200520e-01,RK2
+3.675663e+01,+1.080473e+00,+4.022133e-01,RK2
+3.707079e+01,+1.153513e+00,+4.292428e-02,RK2
