t,x,y,vx,vy,E,L
102.225,-0.675579,-0.268716,0.337397,-1.48727,-0.212493,-1.09543
102.273,-0.657545,-0.33877,0.418097,-1.45054,-0.212494,-1.09543
102.322,-0.635167,-0.408793,0.494053,-1.40667,-0.212494,-1.09543
102.373,-0.608315,-0.478803,0.564614,-1.35636,-0.212494,-1.09543
102.425,-0.576822,-0.548811,0.629249,-1.30039,-0.212494,-1.09543
102.481,-0.540493,-0.618811,0.687547,-1.23956,-0.212494,-1.09543
102.539,-0.499097,-0.68878,0.739218,-1.17467,-0.212494,-1.09543
102.6,-0.45237,-0.758678,0.784082,-1.10655,-0.212494,-1.09543
102.665,-0.400014,-0.828438,0.822069,-1.03597,-0.212494,-1.09543
102.735,-0.341695,-0.897967,0.853201,-0.963691,-0.212494,-1.09543
102.809,-0.277044,-0.967139,0.877587,-0.890421,-0.212494,-1.09543
102.89,-0.205655,-1.03579,0.895405,-0.816812,-0.212494,-1.09543
102.977,-0.127086,-1.10372,0.906892,-0.743454,-0.212494,-1.09543
103.072,-0.0408582,-1.17066,0.912328,-0.670873,-0.212494,-1.09543
103.175,0.0535436,-1.23629,0.912029,-0.599532,-0.212494,-1.09543
103.288,0.156669,-1.30024,0.906328,-0.529826,-0.212494,-1.09543
103.413,0.269101,-1.36202,0.895572,-0.462089,-0.212494,-1.09543
103.551,0.391448,-1.42106,0.880104,-0.396597,-0.212494,-1.09543
103.704,0.524346,-1.47669,0.860262,-0.333569,-0.212494,-1.09543
103.873,0.668438,-1.52808,0.836366,-0.273176,-0.212495,-1.09543
104.063,0.824372,-1.57426,0.808713,-0.215545,-0.212495,-1.09543
