x,f,s
75.2,-1.15086,3
75.6,-1.18637,3
76,-1.2223,3
76.4,-1.25871,3
76.8,-1.29569,3
77.2,-1.33338,3
77.6,-1.37195,3
78,-1.41166,3
78.4,-1.45288,3
78.8,-1.49628,3
79.2,-1.54312,3
79.6,-1.59668,3
