t,x,delta_y,u,v,theta
0.293,0.228571,7.1082e-14,0.780107,0.347938,0.687775
0.294,0.229351,7.12486e-14,0.780107,0.346938,0.687775
0.295,0.230132,7.14429e-14,0.780107,0.345938,0.687775
0.296,0.230912,7.16094e-14,0.780107,0.344938,0.687775
0.297,0.231692,7.17759e-14,0.780107,0.343938,0.687775
0.298,0.232472,7.1998e-14,0.780107,0.342938,0.687775
0.299,0.233252,7.21645e-14,0.780107,0.341938,0.687775
0.3,0.234032,7.2331e-14,0.780107,0.340938,0.687775
0.301,0.234812,7.25253e-14,0.780107,0.339938,0.687775
0.302,0.235592,7.26919e-14,0.780107,0.338938,0.687775
0.303,0.236372,7.28861e-14,0.780107,0.337938,0.687775
0.304,0.237152,7.30527e-14,0.780107,0.336938,0.687775
0.305,0.237933,7.3247e-14,0.780107,0.335938,0.687775
0.306,0.238713,7.34413e-14,0.780107,0.334938,0.687775
0.307,0.239493,7.36355e-14,0.780107,0.333938,0.687775
0.308,0.240273,7.38298e-14,0.780107,0.332938,0.687775
0.309,0.241053,7.39964e-14,0.780107,0.331938,0.687775
0.31,0.241833,7.41907e-14,0.780107,0.330938,0.687775
0.311,0.242613,7.43572e-14,0.780107,0.329938,0.687775
0.312,0.243393,7.45515e-14,0.780107,0.328938,0.687775
0.313,0.244173,7.4718e-14,0.780107,0.327938,0.687775
0.314,0.244954,7.49401e-14,0.780107,0.326938,0.687775
0.315,0.245734,7.51343e-14,0.780107,0.325938,0.687775
0.316,0.246514,7.53286e-14,0.780107,0.324938,0.687775
0.317,0.247294,7.55229e-14,0.780107,0.323938,0.687775
0.318,0.248074,7.56895e-14,0.780107,0.322938,0.687775
0.319,0.248854,7.58837e-14,0.780107,0.321938,0.687775
0.32,0.249634,7.60503e-14,0.780107,0.320938,0.687775
0.321,0.250414,7.62168e-14,0.780107,0.319938,0.687775
0.322,0.251194,7.64111e-14,0.780107,0.318938,0.687775
0.323,0.251974,7.65499e-14,0.780107,0.317938,0.687775
0.324,0.252755,7.67442e-14,0.780107,0.316938,0.687775
0.325,0.253535,7.69107e-14,0.780107,0.315938,0.687775
0.326,0.254315,7.70772e-14,0.780107,0.314938,0.687775
0.327,0.255095,7.7216e-14,0.780107,0.313938,0.687775
0.328,0.255875,7.74103e-14,0.780107,0.312938,0.687775
