E,Res
0.989,-0.0751553
0.99,-0.0747686
0.991,-0.0743833
0.992,-0.0739993
0.993,-0.0736166
0.994,-0.0732353
0.995,-0.0728552
0.996,-0.0724765
0.997,-0.0720991
0.998,-0.0717231
0.999,-0.0713484
1,-0.070975
1.001,-0.0706029
1.002,-0.0702321
1.003,-0.0698627
1.004,-0.0694946
1.005,-0.0691278
1.006,-0.0687624
1.007,-0.0683982
1.008,-0.0680354
1.009,-0.0676739
1.01,-0.0673137
1.011,-0.0669548
1.012,-0.0665973
1.013,-0.0662411
1.014,-0.0658861
1.015,-0.0655325
1.016,-0.0651803
1.017,-0.0648293
1.018,-0.0644796
1.019,-0.0641313
1.02,-0.0637842
1.021,-0.0634385
1.022,-0.0630941
1.023,-0.0627509
1.024,-0.0624091
1.025,-0.0620686
1.026,-0.0617294
1.027,-0.0613915
1.028,-0.0610549
1.029,-0.0607196
1.03,-0.0603856
1.031,-0.0600528
1.032,-0.0597214
1.033,-0.0593913
1.034,-0.0590624
1.035,-0.0587349
1.036,-0.0584086
1.037,-0.0580836
1.038,-0.0577599
1.039,-0.0574375
1.04,-0.0571163
1.041,-0.0567965
1.042,-0.0564779
1.043,-0.0561606
1.044,-0.0558445
1.045,-0.0555297
1.046,-0.0552162
1.047,-0.054904
1.048,-0.054593
1.049,-0.0542833
1.05,-0.0539749
1.051,-0.0536677
1.052,-0.0533617
1.053,-0.0530571
1.054,-0.0527536
1.055,-0.0524514
1.056,-0.0521505
1.057,-0.0518508
1.058,-0.0515524
1.059,-0.0512552
1.06,-0.0509592
1.061,-0.0506645
1.062,-0.050371
1.063,-0.0500787
1.064,-0.0497877
1.065,-0.0494979
1.066,-0.0492093
1.067,-0.0489219
1.068,-0.0486358
1.069,-0.0483509
1.07,-0.0480672
1.071,-0.0477847
1.072,-0.0475034
1.073,-0.0472233
1.074,-0.0469444
1.075,-0.0466668
1.076,-0.0463903
1.077,-0.046115
1.078,-0.0458409
1.079,-0.045568
1.08,-0.0452963
1.081,-0.0450258
1.082,-0.0447565
1.083,-0.0444883
1.084,-0.0442213
1.085,-0.0439555
1.086,-0.0436909
1.087,-0.0434275
1.088,-0.0431652
1.089,-0.042904
1.09,-0.0426441
1.091,-0.0423853
1.092,-0.0421276
1.093,-0.0418711
1.094,-0.0416158
1.095,-0.0413616
1.096,-0.0411085
1.097,-0.0408566
1.098,-0.0406058
1.099,-0.0403562
1.1,-0.0401077
1.101,-0.0398603
1.102,-0.0396141
1.103,-0.0393689
1.104,-0.0391249
1.105,-0.038882
1.106,-0.0386403
1.107,-0.0383996
1.108,-0.0381601
1.109,-0.0379216
1.11,-0.0376843
1.111,-0.037448
1.112,-0.0372129
1.113,-0.0369788
1.114,-0.0367459
1.115,-0.036514
1.116,-0.0362832
1.117,-0.0360535
1.118,-0.0358249
1.119,-0.0355974
1.12,-0.0353709
1.121,-0.0351455
1.122,-0.0349211
1.123,-0.0346979
1.124,-0.0344756
1.125,-0.0342545
1.126,-0.0340344
1.127,-0.0338153
1.128,-0.0335973
1.129,-0.0333804
1.13,-0.0331645
