x,psi,E
-5.67457,1.01787e-07,6.95173e-310
-5.66207,1.09261e-07,6.95173e-310
-5.64957,1.17266e-07,6.95173e-310
-5.63706,1.25838e-07,6.95173e-310
-5.62456,1.35015e-07,6.95173e-310
-5.61206,1.44839e-07,6.95173e-310
-5.59956,1.55353e-07,6.95173e-310
-5.58706,1.66605e-07,6.95173e-310
-5.57456,1.78643e-07,6.95173e-310
-5.56206,1.91522e-07,6.95173e-310
-5.54956,2.05297e-07,6.95173e-310
-5.53705,2.20028e-07,6.95173e-310
-5.52455,2.35779e-07,6.95173e-310
-5.51205,2.52619e-07,6.95173e-310
-5.49955,2.70619e-07,6.95173e-310
-5.48705,2.89856e-07,6.95173e-310
-5.47455,3.10412e-07,6.95173e-310
-5.46205,3.32374e-07,6.95173e-310
-5.44955,3.55835e-07,6.95173e-310
-5.43704,3.80891e-07,6.95173e-310
-5.42454,4.07649e-07,6.95173e-310
-5.41204,4.36218e-07,6.95173e-310
-5.39954,4.66716e-07,6.95173e-310
-5.38704,4.99268e-07,6.95173e-310
-5.37454,5.34008e-07,6.95173e-310
-5.36204,5.71075e-07,6.95173e-310
-5.34954,6.1062e-07,6.95173e-310
-5.33703,6.52801e-07,6.95173e-310
-5.32453,6.97787e-07,6.95173e-310
-5.31203,7.45756e-07,6.95173e-310
-5.29953,7.96899e-07,6.95173e-310
-5.28703,8.51415e-07,6.95173e-310
-5.27453,9.09519e-07,6.95173e-310
-5.26203,9.71437e-07,6.95173e-310
-5.24953,1.03741e-06,6.95173e-310
-5.23702,1.10769e-06,6.95173e-310
-5.22452,1.18254e-06,6.95173e-310
-5.21202,1.26225e-06,6.95173e-310
-5.19952,1.34713e-06,6.95173e-310
-5.18702,1.43749e-06,6.95173e-310
-5.17452,1.53367e-06,6.95173e-310
-5.16202,1.63603e-06,6.95173e-310
-5.14952,1.74496e-06,6.95173e-310
-5.13701,1.86084e-06,6.95173e-310
-5.12451,1.9841e-06,6.95173e-310
-5.11201,2.1152e-06,6.95173e-310
-5.09951,2.25462e-06,6.95173e-310
-5.08701,2.40284e-06,6.95173e-310
-5.07451,2.56041e-06,6.95173e-310
-5.06201,2.72789e-06,6.95173e-310
-5.04951,2.90586e-06,6.95173e-310
-5.037,3.09497e-06,6.95173e-310
-5.0245,3.29586e-06,6.95173e-310
-5.012,3.50925e-06,6.95173e-310
-4.9995,3.73587e-06,6.95173e-310
-4.987,3.9765e-06,6.95173e-310
-4.9745,4.23197e-06,6.95173e-310
-4.962,4.50315e-06,6.95173e-310
-4.9495,4.79096e-06,6.95173e-310
-4.93699,5.09636e-06,6.95173e-310
-4.92449,5.42039e-06,6.95173e-310
-4.91199,5.76412e-06,6.95173e-310
-4.89949,6.12868e-06,6.95173e-310
-4.88699,6.51529e-06,6.95173e-310
-4.87449,6.9252e-06,6.95173e-310
-4.86199,7.35975e-06,6.95173e-310
-4.84949,7.82034e-06,6.95173e-310
-4.83698,8.30847e-06,6.95173e-310
-4.82448,8.82568e-06,6.95173e-310
-4.81198,9.37362e-06,6.95173e-310
-4.79948,9.95402e-06,6.95173e-310
-4.78698,1.05687e-05,6.95173e-310
-4.77448,1.12196e-05,6.95173e-310
-4.76198,1.19087e-05,6.95173e-310
-4.74948,1.26382e-05,6.95173e-310
-4.73697,1.34103e-05,6.95173e-310
-4.72447,1.42273e-05,6.95173e-310
-4.71197,1.50917e-05,6.95173e-310
-4.69947,1.60061e-05,6.95173e-310
-4.68697,1.69733e-05,6.95173e-310
-4.67447,1.79961e-05,6.95173e-310
-4.66197,1.90776e-05,6.95173e-310
-4.64947,2.02209e-05,6.95173e-310
-4.63696,2.14294e-05,6.95173e-310
-4.62446,2.27066e-05,6.95173e-310
