t,f,df,ddf
4.64,115.399,28.2111,-7.78
4.65,115.68,28.1324,-7.84
4.66,115.961,28.0531,-7.9
4.67,116.241,27.9732,-7.96
4.68,116.521,27.8927,-8.02
4.69,116.799,27.8116,-8.08
4.7,117.077,27.7299,-8.14
4.71,117.354,27.6476,-8.2
4.72,117.63,27.5647,-8.26
4.73,117.905,27.4812,-8.32
4.74,118.18,27.3971,-8.38
4.75,118.453,27.3124,-8.44
4.76,118.726,27.2271,-8.5
4.77,118.998,27.1412,-8.56
4.78,119.269,27.0547,-8.62
4.79,119.539,26.9676,-8.68
4.8,119.808,26.8799,-8.74
4.81,120.076,26.7916,-8.8
4.82,120.344,26.7027,-8.86
4.83,120.61,26.6132,-8.92
4.84,120.876,26.5231,-8.98
4.85,121.141,26.4324,-9.04
4.86,121.405,26.3411,-9.1
4.87,121.668,26.2492,-9.16
4.88,121.93,26.1567,-9.22
4.89,122.191,26.0636,-9.28
4.9,122.451,25.9699,-9.34
4.91,122.71,25.8756,-9.4
4.92,122.969,25.7807,-9.46
4.93,123.226,25.6852,-9.52
4.94,123.482,25.5891,-9.58
4.95,123.738,25.4924,-9.64
4.96,123.992,25.3951,-9.7
4.97,124.246,25.2972,-9.76
4.98,124.498,25.1987,-9.82
4.99,124.75,25.0996,-9.88
5,125,24.9999,-9.94
5.01,125.249,24.8996,-9.99999
5.02,125.498,24.7987,-10.06
5.03,125.745,24.6972,-10.12
5.04,125.992,24.5951,-10.18
5.05,126.237,24.4924,-10.24
5.06,126.482,24.3891,-10.3
5.07,126.725,24.2852,-10.36
5.08,126.967,24.1807,-10.42
5.09,127.209,24.0756,-10.48
5.1,127.449,23.9699,-10.54
5.11,127.688,23.8636,-10.6
5.12,127.926,23.7567,-10.66
5.13,128.163,23.6492,-10.72
5.14,128.399,23.5411,-10.78
5.15,128.634,23.4324,-10.84
5.16,128.868,23.3231,-10.9
5.17,129.101,23.2132,-10.96
5.18,129.332,23.1027,-11.02
5.19,129.563,22.9916,-11.08
5.2,129.792,22.8799,-11.14
5.21,130.02,22.7676,-11.2
5.22,130.247,22.6547,-11.26
5.23,130.473,22.5412,-11.32
5.24,130.698,22.4271,-11.38
5.25,130.922,22.3124,-11.44
5.26,131.144,22.1971,-11.5
5.27,131.366,22.0812,-11.56
5.28,131.586,21.9647,-11.62
5.29,131.805,21.8476,-11.68
5.3,132.023,21.7299,-11.74
5.31,132.24,21.6116,-11.8
5.32,132.455,21.4927,-11.86
5.33,132.67,21.3732,-11.92
5.34,132.883,21.2531,-11.98
5.35,133.095,21.1324,-12.04
5.36,133.305,21.0111,-12.1
5.37,133.515,20.8892,-12.16
5.38,133.723,20.7667,-12.22
5.39,133.93,20.6436,-12.28
5.4,134.136,20.5199,-12.34
5.41,134.341,20.3956,-12.4
5.42,134.544,20.2707,-12.46
5.43,134.746,20.1452,-12.52
5.44,134.947,20.0191,-12.58
5.45,135.146,19.8924,-12.64
5.46,135.345,19.7651,-12.7
5.47,135.542,19.6372,-12.76
5.48,135.737,19.5087,-12.82
5.49,135.932,19.3796,-12.88
5.5,136.125,19.2499,-12.94
5.51,136.317,19.1196,-13
5.52,136.507,18.9887,-13.06
5.53,136.697,18.8572,-13.12
5.54,136.885,18.7251,-13.18
5.55,137.071,18.5924,-13.24
5.56,137.256,18.4591,-13.3
5.57,137.44,18.3252,-13.36
5.58,137.623,18.1907,-13.42
5.59,137.804,18.0556,-13.48
5.6,137.984,17.9199,-13.54
5.61,138.163,17.7836,-13.6
5.62,138.34,17.6467,-13.66
5.63,138.515,17.5092,-13.72
5.64,138.69,17.3711,-13.78
5.65,138.863,17.2324,-13.84
5.66,139.035,17.0931,-13.9
5.67,139.205,16.9532,-13.96
5.68,139.374,16.8127,-14.02
5.69,139.541,16.6716,-14.08
5.7,139.707,16.5299,-14.1399
5.71,139.872,16.3876,-14.1999
5.72,140.035,16.2447,-14.2599
5.73,140.196,16.1012,-14.3199
5.74,140.357,15.9571,-14.3799
5.75,140.516,15.8124,-14.4399
5.76,140.673,15.6671,-14.4999
5.77,140.829,15.5212,-14.5599
5.78,140.983,15.3747,-14.6199
5.79,141.136,15.2276,-14.6799
5.8,141.288,15.0799,-14.7399
5.81,141.438,14.9316,-14.7999
5.82,141.587,14.7827,-14.8599
5.83,141.734,14.6332,-14.9199
5.84,141.879,14.4831,-14.9799
5.85,142.023,14.3324,-15.0399
5.86,142.166,14.1811,-15.0999
5.87,142.307,14.0292,-15.1599
5.88,142.447,13.8767,-15.2199
5.89,142.585,13.7236,-15.2799
5.9,142.721,13.5699,-15.3399
5.91,142.856,13.4156,-15.3999
5.92,142.989,13.2607,-15.4599
5.93,143.121,13.1052,-15.5199
5.94,143.251,12.9491,-15.5799
5.95,143.38,12.7924,-15.6399
5.96,143.507,12.6351,-15.6999
5.97,143.633,12.4772,-15.7599
5.98,143.757,12.3187,-15.8199
5.99,143.879,12.1596,-15.8799
6,144,11.9999,-15.9399
6.01,144.119,11.8396,-15.9999
6.02,144.237,11.6787,-16.0599
6.03,144.353,11.5172,-16.1199
6.04,144.467,11.3551,-16.1799
6.05,144.58,11.1924,-16.2399
6.06,144.691,11.0291,-16.2999
6.07,144.8,10.8653,-16.3599
6.08,144.908,10.7008,-16.4199
6.09,145.014,10.5357,-16.4799
6.1,145.119,10.37,-16.5398
6.11,145.222,10.2037,-16.5998
6.12,145.323,10.0368,-16.6598
6.13,145.423,9.86926,-16.7198
6.14,145.52,9.70116,-16.7798
6.15,145.617,9.53246,-16.8398
6.16,145.711,9.36317,-16.8998
6.17,145.804,9.19327,-16.9598
6.18,145.895,9.02277,-17.0198
6.19,145.984,8.85167,-17.0798
6.2,146.072,8.67997,-17.1398
6.21,146.158,8.50767,-17.1998
6.22,146.242,8.33478,-17.2598
6.23,146.325,8.16128,-17.3198
6.24,146.405,7.98718,-17.3798
6.25,146.484,7.81248,-17.4398
6.26,146.562,7.63719,-17.4998
6.27,146.637,7.46129,-17.5598
6.28,146.711,7.28479,-17.6198
6.29,146.783,7.10769,-17.6798
6.3,146.853,6.93,-17.7397
6.31,146.921,6.7517,-17.7997
6.32,146.988,6.5728,-17.8597
6.33,147.053,6.3933,-17.9197
6.34,147.116,6.21321,-17.9797
6.35,147.177,6.03251,-18.0397
6.36,147.237,5.85121,-18.0997
6.37,147.294,5.66932,-18.1597
6.38,147.35,5.48682,-18.2197
