t,th1RK,th2RK,w1RK,w2RK,th1PV,th2PV,w1PV,w2PV
16.3,0.0624106,-0.675862,-0.783869,-0.87594,0.0148752,-0.710285,-0.887133,-0.493375
16.4,-0.020422,-0.729197,-0.858795,-0.184775,-0.0749581,-0.724201,-0.909532,0.215052
16.5,-0.106355,-0.712549,-0.844682,0.514356,-0.162161,-0.668491,-0.834535,0.899153
16.6,-0.186289,-0.627929,-0.739265,1.16532,-0.237219,-0.548438,-0.66662,1.5019
16.7,-0.251389,-0.483021,-0.550013,1.71037,-0.29154,-0.375157,-0.419792,1.96373
16.8,-0.294002,-0.291352,-0.292764,2.09137,-0.318317,-0.165521,-0.115753,2.22898
16.9,-0.308415,-0.0718879,0.0097108,2.25997,-0.31323,0.0589677,0.217491,2.26079
17,-0.291489,0.1527,0.328849,2.19279,-0.275015,0.274785,0.54682,2.05554
17.1,-0.243177,0.35911,0.631789,1.90114,-0.205865,0.45982,0.836171,1.64516
17.2,-0.16682,0.526798,0.884208,1.42713,-0.111528,0.596338,1.05056,1.08522
17.3,-0.0690822,0.640392,1.05476,0.829468,-0.000923968,0.672524,1.16152,0.438499
17.4,0.0405979,0.690603,1.12014,0.169328,0.114761,0.682685,1.15217,-0.235292
17.5,0.151032,0.674085,1.06911,-0.495928,0.223374,0.626891,1.0201,-0.88058
17.6,0.250585,0.593071,0.904018,-1.11158,0.313225,0.510745,0.776926,-1.44234
17.7,0.328492,0.455268,0.639523,-1.62254,0.37434,0.345381,0.445368,-1.86494
17.8,0.375957,0.273875,0.299776,-1.97504,0.399401,0.14721,0.055856,-2.09847
17.9,0.386951,0.0670432,-0.0843061,-2.1258,0.38441,-0.0633116,-0.355687,-2.11197
18,0.358803,-0.14383,-0.476757,-2.05517,0.32917,-0.264165,-0.749111,-1.9051
18.1,0.292633,-0.336934,-0.838073,-1.77498,0.237609,-0.434882,-1.0821,-1.50925
18.2,0.193574,-0.493116,-1.12808,-1.32495,0.117774,-0.559188,-1.3146,-0.976869
